year,PLS,PCR,GL,BoostTree
1985,1,1,1,14
1986,1,2,1,19
1987,1,4,4,21
1988,1,4,8,21
1989,2,6,11,28
1990,1,7,11,41
1991,2,4,14,43
1992,2,4,17,43
1993,2,8,22,57
1994,1,12,24,59
1995,1,11,26,62
1996,2,14,26,61
1997,2,8,35,63
1998,2,10,37,47
1999,3,12,41,43
2000,3,14,44,45
2001,3,18,52,44
2002,3,22,51,51
2003,3,24,55,56
2004,3,24,58,57
2005,3,26,58,64
2006,3,27,62,67
2007,3,33,63,69
2008,3,35,51,67
2009,4,26,60,58
2010,4,38,52,52
2011,3,37,49,68
2012,3,42,41,71
2013,3,36,41,77
2014,2,24,37,69
2015,3,22,39,72
