features,PLS,PCR,GL,BoostTree
mom1m,0.371,0.328,0.477,0.277
indmom,0.087,0.317,0.283,0.261
chmom,0.083,0.086,0.056,0.061
mom12m,0.049,0.063,0.051,0.06
std_turn,0.037,0.027,0.047,0.052
maxret,0.035,0.026,0.021,0.05
turn,0.033,0.026,0.02,0.047
retvol,0.029,0.026,0.018,0.039
mom6m,0.027,0.024,0.01,0.032
mvel1,0.027,0.023,0.007,0.027
ep,0.024,0.021,0.003,0.022
dolvol,0.021,0.019,0.003,0.017
rd_mve,0.021,0.017,0.001,0.01
agr,0.019,0.015,0.001,0.01
cashpr,0.017,0.015,0.001,0.01
nincr,0.015,0.015,0.001,0.01
chcsho,0.013,0.011,0.001,0.01
retvol,0.008,0.007,0.001,0.01
operprof,0.006,0.007,0.001,0.01
lev,0.005,0.003,0.001,0.01
